key,en,pt,es,fr,it
"Draft a view for this program (docs/user/reference/language.md §17.10): the section that says how a screen shows it — its case facts, its result, what is shown beside it",,"Esboçar uma vista para este programa (docs/user/reference/language.md §17.10): a secção que diz como um ecrã o mostra — os factos do caso, o resultado, o que se mostra ao lado","Esbozar una vista para este programa (docs/user/reference/language.md §17.10): la sección que dice cómo lo muestra una pantalla — los hechos del caso, el resultado, lo que se muestra al lado","Esquisser une vue pour ce programme (docs/user/reference/language.md §17.10) : la section qui dit comment un écran le montre — les faits du cas, le résultat, ce qui est montré à côté","Abbozzare una vista per questo programma (docs/user/reference/language.md §17.10): la sezione che dice come uno schermo lo mostra — i fatti del caso, il risultato, ciò che si mostra accanto"
The program must load without errors before a view can be drafted.,,O programa tem de carregar sem erros antes de se poder esboçar uma vista.,El programa debe cargarse sin errores antes de poder esbozar una vista.,Le programme doit se charger sans erreur avant qu'une vue puisse être esquissée.,Il programma deve caricarsi senza errori prima di poter abbozzare una vista.
I drafted a view at the end of the program:,,Esbocei uma vista no fim do programa:,Esbocé una vista al final del programa:,J'ai esquissé une vue à la fin du programme :,Ho abbozzato una vista alla fine del programma:
"It lists every fact a case can state as one group, and shows the result of the first query. Edit it: group the facts under titles, head the result by the value that matters, word the questions for an interview. The verifier checks what it names.",,"Lista todos os factos que um caso pode afirmar num grupo e mostra o resultado da primeira consulta. Edite-a: agrupe os factos sob títulos, encabece o resultado pelo valor que importa, redija as perguntas de uma entrevista. O verificador confere o que ela nomeia.","Lista todos los hechos que un caso puede afirmar en un grupo y muestra el resultado de la primera consulta. Edítela: agrupe los hechos bajo títulos, encabece el resultado por el valor que importa, redacte las preguntas de una entrevista. El verificador comprueba lo que nombra.","Elle liste tous les faits qu'un cas peut énoncer en un groupe et montre le résultat de la première requête. Modifiez-la : groupez les faits sous des titres, mettez en tête la valeur qui compte, rédigez les questions d'un entretien. Le vérificateur contrôle ce qu'elle nomme.","Elenca tutti i fatti che un caso può affermare in un gruppo e mostra il risultato della prima interrogazione. La modifichi: raggruppi i fatti sotto titoli, metta in testa il valore che conta, formuli le domande di un'intervista. Il verificatore controlla ciò che nomina."
Open the view,,Abrir a vista,Abrir la vista,Ouvrir la vue,Apri la vista
"Refine the view section at the end of the program: group its facts under short titles, head the result by the value that matters, and add questions or a draft where they help. Use only the view sentences of docs/user/reference/language.md §17.10.",,"Aperfeiçoe a secção de vista no fim do programa: agrupe os factos sob títulos curtos, encabece o resultado pelo valor que importa e acrescente perguntas ou um rascunho onde ajudem. Use apenas as frases de vista de docs/user/reference/language.md §17.10.","Refine la sección de vista al final del programa: agrupe sus hechos bajo títulos cortos, encabece el resultado por el valor que importa y añada preguntas o un borrador donde ayuden. Use solo las frases de vista de docs/user/reference/language.md §17.10.","Affinez la section de vue à la fin du programme : groupez ses faits sous des titres courts, mettez en tête la valeur qui compte et ajoutez des questions ou un brouillon là où ils aident. N'utilisez que les phrases de vue de docs/user/reference/language.md §17.10.","Rifinisca la sezione di vista alla fine del programma: raggruppi i fatti sotto titoli brevi, metta in testa il valore che conta e aggiunga domande o una bozza dove aiutano. Usi solo le frasi di vista di docs/user/reference/language.md §17.10."
provided that,,desde que,siempre que,pourvu que,purché
The result holds provided that it does.,,O resultado verifica-se desde que isto se verifique.,El resultado se cumple siempre que esto se cumpla.,Le résultat vaut pourvu que cela vaille.,Il risultato vale purché questo valga.
Open Executive View,,Abrir a vista executiva,Abrir la vista ejecutiva,Ouvrir la vue exécutive,Apri la vista esecutiva
"Run the program as its users see it, without its text: the executive view, with the program's views, in a new window",,"Executar o programa como os seus utilizadores o veem, sem o texto: a vista executiva, com as vistas do programa, numa nova janela","Ejecutar el programa como lo ven sus usuarios, sin su texto: la vista ejecutiva, con las vistas del programa, en una nueva ventana","Exécuter le programme tel que ses utilisateurs le voient, sans son texte : la vue exécutive, avec les vues du programme, dans une nouvelle fenêtre","Eseguire il programma come lo vedono i suoi utenti, senza il testo: la vista esecutiva, con le viste del programma, in una nuova finestra"
The editor's copy of this program is not in this browser: this is the program as saved.,,A cópia do editor deste programa não está neste navegador: este é o programa tal como foi guardado.,La copia del editor de este programa no está en este navegador: este es el programa tal como se guardó.,La copie de l'éditeur de ce programme n'est pas dans ce navigateur : voici le programme tel qu'enregistré.,La copia dell'editor di questo programma non è in questo browser: questo è il programma come salvato.
Automatic view,,Vista automática,Vista automática,Vue automatique,Vista automatica
Drawing the view…,,A desenhar a vista…,Dibujando la vista…,Construction de la vue…,Costruzione della vista…
No view could be drawn from this program.,,Não foi possível desenhar uma vista a partir deste programa.,No se pudo dibujar una vista a partir de este programa.,Aucune vue n'a pu être tirée de ce programme.,Non è stato possibile ricavare una vista da questo programma.
"Drawn from the program itself. To change it, the LE Assistant of the editor writes it out: Generate LE view.",,"Desenhada a partir do próprio programa. Para a alterar, o Assistente LE do editor escreve-a: Gerar vista LE.","Dibujada a partir del propio programa. Para cambiarla, el Asistente LE del editor la escribe: Generar vista LE.","Tirée du programme lui-même. Pour la modifier, l'Assistant LE de l'éditeur l'écrit : Générer une vue LE.","Ricavata dal programma stesso. Per modificarla, l'Assistente LE dell'editor la scrive: Genera vista LE."
Could not open,,Não foi possível abrir,No se pudo abrir,Impossible d'ouvrir,Impossibile aprire
no answer from the server,,sem resposta do servidor,sin respuesta del servidor,pas de réponse du serveur,nessuna risposta dal server
translated from,,traduzido de,traducido de,traduit de,tradotto da
fragment(s) could not be translated: they are in the program as TODO comments.,,fragmento(s) não puderam ser traduzidos: estão no programa como comentários TODO.,fragmento(s) no pudieron traducirse: están en el programa como comentarios TODO.,fragment(s) n'ont pas pu être traduits : ils sont dans le programme sous forme de commentaires TODO.,frammento/i non tradotti: sono nel programma come commenti TODO.
Everything was translated.,,Tudo foi traduzido.,Todo se tradujo.,Tout a été traduit.,Tutto è stato tradotto.
What the translator did. The program is open in a new tab; save it with File > Save As.,,O que o tradutor fez. O programa está aberto num novo separador; guarde-o com Ficheiro > Guardar como.,Lo que hizo el traductor. El programa está abierto en una pestaña nueva; guárdelo con Archivo > Guardar como.,Ce qu'a fait le traducteur. Le programme est ouvert dans un nouvel onglet ; enregistrez-le avec Fichier > Enregistrer sous.,Ciò che ha fatto il traduttore. Il programma è aperto in una nuova scheda; lo salvi con File > Salva con nome.
translated on opening,,traduzido ao abrir,traducido al abrir,traduit à l'ouverture,tradotto all'apertura
"Open a Logical English file, or a file of another system that the server has a translator for (a Solidity contract, a Miniscript policy, an Oracle Intelligent Advisor project, a Socotra product as a .zip): it is translated on opening, and what could not be translated is kept as TODO comments",,"Abrir um ficheiro Logical English, ou um ficheiro de outro sistema para o qual o servidor tem um tradutor (um contrato Solidity, uma política Miniscript, um projeto Oracle Intelligent Advisor, um produto Socotra em .zip): é traduzido ao abrir, e o que não pôde ser traduzido fica como comentários TODO",,,
"One of the program's scenarios as the case, or a new case to fill in",,"Um dos cenários do programa como caso, ou um caso novo para preencher","Uno de los escenarios del programa como caso, o un caso nuevo por rellenar","Un des scénarios du programme comme cas, ou un nouveau cas à remplir","Uno degli scenari del programma come caso, o un nuovo caso da compilare"
The kinds of fact this group can state,,Os tipos de facto que este grupo pode afirmar,Los tipos de hecho que este grupo puede afirmar,Les sortes de faits que ce groupe peut énoncer,I tipi di fatto che questo gruppo può affermare
Add a fact of the kind chosen,,Acrescentar um facto do tipo escolhido,Añadir un hecho del tipo elegido,Ajouter un fait de la sorte choisie,Aggiungere un fatto del tipo scelto
"A group of facts, as the view names it",,"Um grupo de factos, como a vista o designa","Un grupo de hechos, como lo nombra la vista","Un groupe de faits, tel que la vue le nomme","Un gruppo di fatti, come lo chiama la vista"
The case does not state this fact: click to state it,,O caso não afirma este facto: clique para o afirmar,El caso no afirma este hecho: haga clic para afirmarlo,Le cas n'énonce pas ce fait : cliquez pour l'énoncer,Il caso non afferma questo fatto: clicchi per affermarlo
The case meets this section,,O caso cumpre esta secção,El caso cumple esta sección,Le cas satisfait cette section,Il caso soddisfa questa sezione
The case stops here: this section is not met,,O caso pára aqui: esta secção não é cumprida,El caso se detiene aquí: esta sección no se cumple,Le cas s'arrête ici : cette section n'est pas satisfaite,Il caso si ferma qui: questa sezione non è soddisfatta
Not reached: an earlier section stopped the case,,Não alcançada: uma secção anterior parou o caso,No alcanzada: una sección anterior detuvo el caso,Non atteinte : une section antérieure a arrêté le cas,Non raggiunta: una sezione precedente ha fermato il caso
Copy to the clipboard,,Copiar para a área de transferência,Copiar al portapapeles,Copier dans le presse-papiers,Copiare negli appunti
The case says nothing about this,,O caso nada diz sobre isto,El caso no dice nada de esto,Le cas ne dit rien à ce sujet,Il caso non dice nulla su questo
The case states something else,,O caso afirma outra coisa,El caso afirma otra cosa,Le cas énonce autre chose,Il caso afferma altro
Search for the fewest facts (up to three) to add or remove that would change the result,,Procurar os menos factos (até três) a acrescentar ou retirar que mudariam o resultado,Buscar los menos hechos (hasta tres) que añadir o quitar para cambiar el resultado,Chercher le moins de faits (jusqu'à trois) à ajouter ou retirer qui changeraient le résultat,Cercare il minor numero di fatti (fino a tre) da aggiungere o togliere che cambierebbero il risultato
Run every scenario of the program through the view's question and compare with what it expects,,Correr cada cenário do programa pela pergunta da vista e comparar com o que ele espera,Ejecutar cada escenario del programa con la pregunta de la vista y comparar con lo que espera,Passer chaque scénario du programme par la question de la vue et comparer à ce qu'il attend,Eseguire ogni scenario del programma con la domanda della vista e confrontare con ciò che si attende
State this fact in the case,,Afirmar este facto no caso,Afirmar este hecho en el caso,Énoncer ce fait dans le cas,Affermare questo fatto nel caso
State the fact with this value (one the rules read),,Afirmar o facto com este valor (um que as regras leem),Afirmar el hecho con este valor (uno que las reglas leen),Énoncer le fait avec cette valeur (une que les règles lisent),Affermare il fatto con questo valore (uno che le regole leggono)
"State the fact, then fill in its value",,Afirmar o facto e depois preencher o seu valor,Afirmar el hecho y luego rellenar su valor,"Énoncer le fait, puis remplir sa valeur","Affermare il fatto, poi compilarne il valore"
Re-evaluate,,Reavaliar,Reevaluar,Réévaluer,Rivalutare
Work out the result again from the facts of the case as they are now,,Calcular de novo o resultado a partir dos factos do caso como estão agora,Calcular de nuevo el resultado a partir de los hechos del caso tal como están ahora,Recalculer le résultat à partir des faits du cas tels qu'ils sont maintenant,Ricalcolare il risultato dai fatti del caso come sono ora
automatically,,automaticamente,automáticamente,automatiquement,automaticamente
"Re-evaluate on every change, without pressing the button",,"Reavaliar a cada alteração, sem carregar no botão","Reevaluar con cada cambio, sin pulsar el botón","Réévaluer à chaque changement, sans appuyer sur le bouton","Rivalutare a ogni modifica, senza premere il pulsante"
The case has changed: the results below are those of the case before the change.,,O caso mudou: os resultados abaixo são os do caso antes da alteração.,El caso ha cambiado: los resultados de abajo son los del caso antes del cambio.,Le cas a changé : les résultats ci-dessous sont ceux du cas avant le changement.,Il caso è cambiato: i risultati qui sotto sono quelli del caso prima della modifica.
Changed by the last evaluation,,Mudou com a última avaliação,Cambió con la última evaluación,Changé par la dernière évaluation,Cambiato dall'ultima valutazione
before the change,,antes da alteração,antes del cambio,avant le changement,prima della modifica
What the result said before the case was changed,,O que o resultado dizia antes de o caso mudar,Lo que decía el resultado antes de cambiar el caso,Ce que disait le résultat avant que le cas change,Cosa diceva il risultato prima che il caso cambiasse
Evaluating…,,A avaliar…,Evaluando…,Évaluation…,Valutazione…
Evaluated at,,Avaliado às,Evaluado a las,Évalué à,Valutato alle
the case as edited,,o caso como editado,el caso tal como se editó,le cas tel que modifié,il caso come modificato
"The facts of the case. Change a value, add or remove a fact, or pick another case; then Re-evaluate",,"Os factos do caso. Mude um valor, acrescente ou retire um facto, ou escolha outro caso; depois Reavaliar","Los hechos del caso. Cambie un valor, añada o quite un hecho, o elija otro caso; luego Reevaluar","Les faits du cas. Changez une valeur, ajoutez ou retirez un fait, ou choisissez un autre cas ; puis Réévaluer","I fatti del caso. Cambi un valore, aggiunga o tolga un fatto, o scelga un altro caso; poi Rivalutare"
The facts the result still depends on: answer them to complete the case,,Os factos de que o resultado ainda depende: responda-lhes para completar o caso,Los hechos de los que aún depende el resultado: respóndalos para completar el caso,Les faits dont le résultat dépend encore : répondez-y pour compléter le cas,I fatti da cui il risultato dipende ancora: risponda per completare il caso
"The answer to the view's question for this case, worked out from the rules and the facts on the left",,"A resposta à pergunta da vista para este caso, calculada a partir das regras e dos factos à esquerda","La respuesta a la pregunta de la vista para este caso, calculada a partir de las reglas y los hechos de la izquierda","La réponse à la question de la vue pour ce cas, calculée à partir des règles et des faits à gauche","La risposta alla domanda della vista per questo caso, ricavata dalle regole e dai fatti a sinistra"
"The sections of the rules in order: which the case passes, and where it stops",,"As secções das regras por ordem: as que o caso passa, e onde pára",Las secciones de las reglas en orden: cuáles pasa el caso y dónde se detiene,"Les sections des règles dans l'ordre : celles que le cas passe, et où il s'arrête","Le sezioni delle regole in ordine: quali il caso supera, e dove si ferma"
"Every step of the result that cites a source, in the order of the reasoning; § opens the passage",,"Cada passo do resultado que cita uma fonte, pela ordem do raciocínio; § abre a passagem","Cada paso del resultado que cita una fuente, en el orden del razonamiento; § abre el pasaje","Chaque étape du résultat qui cite une source, dans l'ordre du raisonnement ; § ouvre le passage","Ogni passo del risultato che cita una fonte, nell'ordine del ragionamento; § apre il passo"
"The facts the result rests on; when it fails, the conditions it did not meet and why",,"Os factos em que o resultado assenta; quando falha, as condições que não cumpriu e porquê","Los hechos en que se basa el resultado; cuando falla, las condiciones que no cumplió y por qué","Les faits sur lesquels repose le résultat ; en cas d'échec, les conditions non satisfaites et pourquoi","I fatti su cui si basa il risultato; quando fallisce, le condizioni non soddisfatte e perché"
The smallest changes to the facts of the case that would change the result,,As menores alterações aos factos do caso que mudariam o resultado,Los cambios más pequeños en los hechos del caso que cambiarían el resultado,Les plus petits changements aux faits du cas qui changeraient le résultat,Le modifiche più piccole ai fatti del caso che cambierebbero il risultato
"Further answers about this case, one row per answer",,"Outras respostas sobre este caso, uma linha por resposta","Otras respuestas sobre este caso, una fila por respuesta","D'autres réponses sur ce cas, une ligne par réponse","Altre risposte su questo caso, una riga per risposta"
The same question asked of other scenarios of the program,,A mesma pergunta feita a outros cenários do programa,La misma pregunta hecha a otros escenarios del programa,La même question posée à d'autres scénarios du programme,La stessa domanda posta ad altri scenari del programma
"The documents the result cites, with the cited passages marked",,"Os documentos que o resultado cita, com as passagens citadas marcadas","Los documentos que cita el resultado, con los pasajes citados marcados","Les documents que cite le résultat, avec les passages cités marqués","I documenti che il risultato cita, con i passi citati evidenziati"
"Every scenario of the program run through the view's question, beside the answer the scenario expects",,"Cada cenário do programa passado pela pergunta da vista, ao lado da resposta que o cenário espera","Cada escenario del programa con la pregunta de la vista, junto a la respuesta que el escenario espera","Chaque scénario du programme passé par la question de la vue, à côté de la réponse que le scénario attend","Ogni scenario del programma con la domanda della vista, accanto alla risposta che lo scenario si attende"
"A text filled in from the result, to copy into a letter or a note",,"Um texto preenchido a partir do resultado, para copiar para uma carta ou nota","Un texto rellenado a partir del resultado, para copiar en una carta o una nota","Un texte rempli à partir du résultat, à copier dans une lettre ou une note","Un testo compilato dal risultato, da copiare in una lettera o in una nota"
Run in LPS,,Executar em LPS,Ejecutar en LPS,Exécuter en LPS,Esegui in LPS
Legal View,,Vista jurídica,Vista jurídica,Vue juridique,Vista giuridica
Legal View of This LPS Program,,Vista jurídica deste programa LPS,Vista jurídica de este programa LPS,Vue juridique de ce programme LPS,Vista giuridica di questo programma LPS
"This is an LPS program: it runs in time, one event after another, instead of answering queries.",,"Este é um programa LPS: corre no tempo, um evento após outro, em vez de responder a consultas.","Este es un programa LPS: se ejecuta en el tiempo, un evento tras otro, en lugar de responder consultas.","Ceci est un programme LPS : il s'exécute dans le temps, un événement après l'autre, au lieu de répondre à des requêtes.","Questo è un programma LPS: si esegue nel tempo, un evento dopo l'altro, invece di rispondere a interrogazioni."
"Run this LPS program (the target language is: lps) in time with the LPS engine, in a new window: its timeline, state changes and explanations",,"Executar este programa LPS (a linguagem alvo é: lps) no tempo com o motor LPS, numa nova janela: a sua linha do tempo, mudanças de estado e explicações","Ejecutar este programa LPS (el lenguaje objetivo es: lps) en el tiempo con el motor LPS, en una ventana nueva: su línea de tiempo, cambios de estado y explicaciones","Exécuter ce programme LPS (le langage cible est : lps) dans le temps avec le moteur LPS, dans une nouvelle fenêtre : sa chronologie, ses changements d'état et ses explications","Eseguire questo programma LPS (il linguaggio obiettivo è: lps) nel tempo con il motore LPS, in una nuova finestra: la sua linea temporale, i cambiamenti di stato e le spiegazioni"
"The legal view of this LPS program: who may do what, when, and with which effect — each action's integrity constraints as one permission rule, each causal law as an effect — an ordinary Logical English program, opened in a new tab with the program's own calls as queries",,"A vista jurídica deste programa LPS: quem pode fazer o quê, quando e com que efeito — as restrições de integridade de cada ação como uma regra de permissão, cada lei causal como um efeito — um programa Logical English comum, aberto num novo separador com as chamadas do próprio programa como consultas","La vista jurídica de este programa LPS: quién puede hacer qué, cuándo y con qué efecto — las restricciones de integridad de cada acción como una regla de permiso, cada ley causal como un efecto — un programa Logical English corriente, abierto en una pestaña nueva con las llamadas del propio programa como consultas","La vue juridique de ce programme LPS : qui peut faire quoi, quand et avec quel effet — les contraintes d'intégrité de chaque action comme une règle de permission, chaque loi causale comme un effet — un programme Logical English ordinaire, ouvert dans un nouvel onglet avec les appels du programme comme requêtes","La vista giuridica di questo programma LPS: chi può fare cosa, quando e con quale effetto — i vincoli di integrità di ogni azione come una regola di permesso, ogni legge causale come un effetto — un normale programma Logical English, aperto in una nuova scheda con le chiamate del programma come interrogazioni"
The legal view of this LPS program could not be drawn.,,Não foi possível tirar a vista jurídica deste programa LPS.,No se pudo obtener la vista jurídica de este programa LPS.,La vue juridique de ce programme LPS n'a pas pu être tirée.,Non è stato possibile ricavare la vista giuridica di questo programma LPS.
What kind of thing each thing of the case is. They stay in the case as they are.,,O tipo de cada coisa do caso. Ficam no caso tal como estão.,Qué clase de cosa es cada cosa del caso. Se quedan en el caso tal como están.,La sorte de chaque chose du cas. Elles restent dans le cas telles quelles.,Che tipo di cosa è ogni cosa del caso. Restano nel caso così come sono.
Also stated,,Também afirmado,También se afirma,Également énoncé,Affermato anche
Some facts of the case cannot be read by the rules as written: the result may be wrong.,,Alguns factos do caso não podem ser lidos pelas regras tal como estão escritos: o resultado pode estar errado.,Algunos hechos del caso no pueden ser leídos por las reglas tal como están escritos: el resultado puede ser erróneo.,Certains faits du cas ne peuvent pas être lus par les règles tels qu'ils sont écrits : le résultat peut être faux.,Alcuni fatti del caso non possono essere letti dalle regole così come sono scritti: il risultato potrebbe essere sbagliato.
"A value is written in a form the rules never read at that place (a number in quotes, a near miss of a value they read). Correct it and Re-evaluate.",,"Um valor está escrito numa forma que as regras nunca leem nessa posição (um número entre aspas, um valor quase igual a um que leem). Corrija-o e Reavalie.","Un valor está escrito de una forma que las reglas nunca leen en ese lugar (un número entre comillas, un valor casi igual a uno que leen). Corríjalo y Reevalúe.","Une valeur est écrite sous une forme que les règles ne lisent jamais à cet endroit (un nombre entre guillemets, une valeur proche d'une qu'elles lisent). Corrigez-la et Réévaluez.","Un valore è scritto in una forma che le regole non leggono mai in quel punto (un numero tra virgolette, un valore quasi uguale a uno che leggono). Lo corregga e Rivaluti."
The view flags the case when,,A vista assinala o caso quando,La vista señala el caso cuando,La vue signale le cas quand,La vista segnala il caso quando
The result has more answers than are shown,,O resultado tem mais respostas do que as mostradas,El resultado tiene más respuestas de las que se muestran,Le résultat a plus de réponses que celles affichées,Il risultato ha più risposte di quelle mostrate
Thinking…,,A pensar…,Pensando…,Réflexion…,Sto pensando…
Only the questions the result can still depend on are asked,,Só se fazem as perguntas de que o resultado ainda pode depender,Solo se hacen las preguntas de las que aún puede depender el resultado,Seules les questions dont le résultat peut encore dépendre sont posées,Si pongono solo le domande da cui il risultato può ancora dipendere
"The value, as the rules read it",,"O valor, tal como as regras o leem","El valor, tal como lo leen las reglas","La valeur, telle que les règles la lisent","Il valore, come lo leggono le regole"
Next,,Seguinte,Siguiente,Suivant,Avanti
State this value in the case and go on,,Afirmar este valor no caso e continuar,Afirmar este valor en el caso y seguir,Énoncer cette valeur dans le cas et continuer,Affermare questo valore nel caso e proseguire
Not known,,Desconhecido,Desconocido,Inconnu,Non noto
Leave this fact unstated,,Deixar este facto por afirmar,Dejar este hecho sin afirmar,Laisser ce fait non énoncé,Lasciare questo fatto non affermato
Take back the last answer,,Retirar a última resposta,Retirar la última respuesta,Reprendre la dernière réponse,Ritirare l'ultima risposta
Tests of,,Testes de,Pruebas de,Tests de,Test di
Running the tests…,,A executar os testes…,Ejecutando las pruebas…,Exécution des tests…,Esecuzione dei test…
only those that did not pass,,só os que não passaram,solo las que no pasaron,seulement ceux qui n'ont pas réussi,solo quelli non superati
Hide the tests that passed,,Esconder os testes que passaram,Ocultar las pruebas que pasaron,Masquer les tests réussis,Nascondere i test superati
errors,,erros,errores,erreurs,errori
tests,,testes,pruebas,tests,test
"This program has no tests: a scenario states them with ""<query> expects answers [...]"".",,"Este programa não tem testes: um cenário declara-os com ""<consulta> espera respostas [...]"".","Este programa no tiene pruebas: un escenario las declara con ""<consulta> espera respuestas [...]"".","Ce programme n'a pas de tests : un scénario les énonce avec ""<requête> attend réponses [...]"".","Questo programma non ha test: uno scenario li dichiara con ""<query> attende risposte [...]""."
Got,,Obtido,Obtenido,Obtenu,Ottenuto
Select this scenario and query in the query panel,,Selecionar este cenário e esta consulta no painel de consultas,Seleccionar este escenario y esta consulta en el panel de consultas,Sélectionner ce scénario et cette requête dans le panneau des requêtes,Selezionare questo scenario e questa query nel pannello delle query
unknowns,,desconhecidos,desconocidos,inconnues,incognite
Run the Program's Tests…,,Executar os Testes do Programa…,Ejecutar las Pruebas del Programa…,Exécuter les Tests du Programme…,Eseguire i Test del Programma…
"Run every expectation of the program (the ""expects answers"" lines of its scenarios) and list each with its outcome: passed, or what was expected and what came instead. A click on a row selects its scenario and query.",,"Executar cada expectativa do programa (as linhas ""espera respostas"" dos seus cenários) e listar cada uma com o seu resultado: passou, ou o que se esperava e o que veio em vez disso. Um clique numa linha seleciona o seu cenário e consulta.",,,
A new tab with an empty Logical English program,,Um novo separador com um programa Logical English vazio,Una pestaña nueva con un programa Logical English vacío,Un nouvel onglet avec un programme Logical English vide,Una nuova scheda con un programma Logical English vuoto
Open a copy of a Logical English program published at a web address; its includes and cited documents resolve relative to that address,,Abrir uma cópia de um programa Logical English publicado num endereço web; as inclusões e os documentos citados resolvem-se relativamente a esse endereço,Abrir una copia de un programa Logical English publicado en una dirección web; sus inclusiones y documentos citados se resuelven respecto a esa dirección,Ouvrir une copie d'un programme Logical English publié à une adresse web ; ses inclusions et documents cités se résolvent par rapport à cette adresse,Aprire una copia di un programma Logical English pubblicato a un indirizzo web; le sue inclusioni e i documenti citati si risolvono rispetto a quell'indirizzo
"Translate a file of another system into Logical English — deterministically, no LLM — and open the result in a new tab: what could not be translated is kept as TODO comments, and the file itself stays beside the program (File > Show the Original)",,"Traduzir um ficheiro de outro sistema para Logical English — de forma determinística, sem LLM — e abrir o resultado num novo separador: o que não pôde ser traduzido fica como comentários TODO, e o próprio ficheiro fica ao lado do programa (Ficheiro > Mostrar o original)","Traducir un archivo de otro sistema a Logical English — de forma determinista, sin LLM — y abrir el resultado en una pestaña nueva: lo que no se pudo traducir queda como comentarios TODO, y el propio archivo queda junto al programa (Archivo > Mostrar el original)","Traduire un fichier d'un autre système en Logical English — de façon déterministe, sans LLM — et ouvrir le résultat dans un nouvel onglet : ce qui n'a pas pu être traduit reste en commentaires TODO, et le fichier lui-même reste à côté du programme (Fichier > Afficher l'original)","Tradurre un file di un altro sistema in Logical English — in modo deterministico, senza LLM — e aprire il risultato in una nuova scheda: ciò che non si è potuto tradurre resta come commenti TODO, e il file stesso resta accanto al programma (File > Mostra l'originale)"
Import from Another System…,,Importar de outro sistema…,Importar de otro sistema…,Importer depuis un autre système…,Importa da un altro sistema…
Open a copy of one of the example programs this server keeps: your changes do not touch the server's file,,Abrir uma cópia de um dos programas de exemplo deste servidor: as suas alterações não tocam no ficheiro do servidor,Abrir una copia de uno de los programas de ejemplo de este servidor: sus cambios no tocan el archivo del servidor,Ouvrir une copie d'un des programmes d'exemple de ce serveur : vos modifications ne touchent pas le fichier du serveur,Aprire una copia di uno dei programmi di esempio di questo server: le modifiche non toccano il file del server
Save the active program to the file it was opened from,,Guardar o programa ativo no ficheiro de onde foi aberto,Guardar el programa activo en el archivo del que se abrió,Enregistrer le programme actif dans le fichier d'où il a été ouvert,Salvare il programma attivo nel file da cui è stato aperto
Save the active program under a new name,,Guardar o programa ativo com um novo nome,Guardar el programa activo con otro nombre,Enregistrer le programme actif sous un nouveau nom,Salvare il programma attivo con un nuovo nome
"Show the files this program was converted from (another system's rules, contract or product), kept in the sources folder beside it, in the source viewer",,"Mostrar no visualizador os ficheiros de onde este programa foi convertido (regras, contrato ou produto de outro sistema), guardados na pasta sources ao lado dele","Mostrar en el visor los archivos de los que se convirtió este programa (reglas, contrato o producto de otro sistema), guardados en la carpeta sources junto a él","Afficher dans la visionneuse les fichiers d'où ce programme a été converti (règles, contrat ou produit d'un autre système), conservés dans le dossier sources à côté de lui","Mostrare nel visualizzatore i file da cui questo programma è stato convertito (regole, contratto o prodotto di un altro sistema), conservati nella cartella sources accanto a esso"
Show the Original…,,Mostrar o original…,Mostrar el original…,Afficher l'original…,Mostra l'originale…
Cut the selection to the clipboard,,Cortar a seleção para a área de transferência,Cortar la selección al portapapeles,Couper la sélection dans le presse-papiers,Tagliare la selezione negli appunti
Copy the selection to the clipboard,,Copiar a seleção para a área de transferência,Copiar la selección al portapapeles,Copier la sélection dans le presse-papiers,Copiare la selezione negli appunti
Paste the clipboard at the cursor,,Colar a área de transferência no cursor,Pegar el portapapeles en el cursor,Coller le presse-papiers au curseur,Incollare gli appunti al cursore
Find text in the program (Ctrl/Cmd+F),,Procurar texto no programa (Ctrl/Cmd+F),Buscar texto en el programa (Ctrl/Cmd+F),Chercher du texte dans le programme (Ctrl/Cmd+F),Cercare testo nel programma (Ctrl/Cmd+F)
Find text and replace it,,Procurar texto e substituí-lo,Buscar texto y reemplazarlo,Chercher du texte et le remplacer,Cercare testo e sostituirlo
"Edit the program's scenarios in a form: each fact from one of the program's templates, one field per placeholder",,"Editar os cenários do programa num formulário: cada facto a partir de um dos modelos do programa, um campo por lacuna","Editar los escenarios del programa en un formulario: cada hecho a partir de una de las plantillas del programa, un campo por hueco","Modifier les scénarios du programme dans un formulaire : chaque fait à partir d'un des modèles du programme, un champ par emplacement","Modificare gli scenari del programma in un modulo: ogni fatto da uno dei modelli del programma, un campo per segnaposto"
"Build or edit the program's queries in a form, from its templates, joined with and / or and negated with not",,"Construir ou editar as consultas do programa num formulário, a partir dos seus modelos, unidas com e / ou e negadas com não","Construir o editar las consultas del programa en un formulario, a partir de sus plantillas, unidas con y / o y negadas con no","Construire ou modifier les requêtes du programme dans un formulaire, à partir de ses modèles, jointes par et / ou et niées par non","Costruire o modificare le interrogazioni del programma in un modulo, dai suoi modelli, unite con e / o e negate con non"
"Fold every rule and section to its first line, to see the outline",,"Dobrar cada regra e secção na sua primeira linha, para ver o esquema","Plegar cada regla y sección en su primera línea, para ver el esquema","Replier chaque règle et section sur sa première ligne, pour voir le plan","Ripiegare ogni regola e sezione sulla prima riga, per vederne lo schema"
Unfold everything folded,,Desdobrar tudo o que está dobrado,Desplegar todo lo plegado,Déplier tout ce qui est replié,Dispiegare tutto ciò che è ripiegato
Light text on a dark background,,Texto claro sobre fundo escuro,Texto claro sobre fondo oscuro,Texte clair sur fond sombre,Testo chiaro su sfondo scuro
Dark text on a light background,,Texto escuro sobre fundo claro,Texto oscuro sobre fondo claro,Texte sombre sur fond clair,Testo scuro su sfondo chiaro
